tconst	averageRating	numVotes
tt0000341	4.9	304
tt0000346	4.8	173
tt0000347	4.5	85
tt0000349	5.4	102
tt0000350	5.8	641
tt0000352	5.7	25
tt0000353	5.1	298
tt0000355	6.1	596
tt0000357	5.8	367
tt0000358	6.2	606
tt0000359	7.1	2595
tt0000361	8.1	10
tt0000363	6.2	128
tt0000364	5.5	126
tt0000368	6.5	8
tt0000370	5.6	399
tt0000373	6.3	59
tt0000376	7.4	7
tt0000377	6.1	100
tt0000379	5.2	6
tt0000380	7.2	13
tt0000381	4.1	10
tt0000384	5.8	192
tt0000387	5.1	297
tt0000388	5.2	102
tt0000399	6.0	663
tt0000400	6.4	10
tt0000402	7.0	7
tt0000406	5.4	22
tt0000407	3.8	27
tt0000409	5.2	175
tt0000410	6.7	883
tt0000412	4.0	11
tt0000413	5.5	372
tt0000414	5.3	662
tt0000416	5.4	130
tt0000417	8.2	44601
tt0000420	6.3	2399
tt0000422	6.0	5
tt0000423	5.4	196
tt0000425	5.2	10
tt0000426	4.8	6
tt0000430	5.9	621
tt0000432	5.6	171
tt0000436	6.1	455
tt0000437	5.1	195
tt0000439	7.3	17526
tt0000440	5.4	187
tt0000441	6.5	6
tt0000442	4.7	62
tt0000443	6.0	6
tt0000446	5.9	8
tt0000447	6.4	2156
tt0000451	6.5	785
tt0000452	4.7	85
tt0000455	6.8	1678
tt0000456	4.2	38
tt0000459	4.6	53
tt0000460	6.2	6
tt0000464	4.7	363
tt0000465	7.3	1263
tt0000469	5.8	919
tt0000471	5.1	415
tt0000472	6.4	13
tt0000479	5.3	336
tt0000480	5.0	164
tt0000487	7.0	434
tt0000488	6.9	715
tt0000491	4.0	41
tt0000492	5.0	94
tt0000495	6.0	85
tt0000496	6.2	40
tt0000497	5.1	52
tt0000498	6.7	1077
tt0000499	7.6	3189
tt0000501	4.7	24
tt0000502	4.5	8
tt0000505	7.3	15
tt0000506	5.0	6
tt0000507	3.8	27
tt0000509	6.0	21
tt0000511	6.7	24
tt0000512	4.5	40
tt0000515	4.8	74
tt0000516	6.5	878
tt0000519	5.7	309
tt0000520	6.3	38
tt0000521	5.5	252
tt0000524	5.7	665
tt0000525	5.4	40
tt0000526	4.3	40
tt0000528	6.0	9
tt0000533	7.2	18
tt0000534	6.6	1000
tt0000535	5.1	48
tt0000537	4.5	65
tt0000543	5.2	12
tt0000546	6.7	1717
tt0000548	5.5	6
tt0000550	4.4	8
tt0000552	5.9	42
tt0000553	6.5	326
tt0000554	6.2	1135
tt0000555	5.2	11
tt0000557	4.7	95
tt0000561	5.4	31
tt0000565	6.3	504
tt0000567	6.7	963
tt0000570	4.1	34
tt0000571	6.9	52
tt0000574	6.1	623
tt0000575	5.8	418
tt0000576	6.0	198
tt0000578	7.6	12
tt0000581	5.2	6
tt0000582	5.0	598
tt0000583	5.4	27
tt0000584	5.0	55
tt0000586	6.2	6
tt0000591	6.0	5
tt0000594	6.0	6
tt0000595	5.7	6
tt0000596	5.5	8
tt0000597	4.9	57
tt0000598	5.5	24
tt0000599	4.7	7
tt0000601	5.0	6
tt0000602	4.6	174
tt0000608	6.1	7
tt0000609	4.5	11
tt0000610	5.0	11
tt0000613	4.3	7
tt0000614	6.5	922
tt0000615	4.5	14
tt0000617	4.6	16
tt0000618	8.0	6
tt0000621	6.4	531
tt0000624	7.0	6
tt0000627	6.1	14
tt0000628	5.7	695
tt0000629	5.6	31
tt0000630	3.2	11
tt0000632	5.3	35
tt0000634	4.0	9
tt0000637	5.5	593
tt0000638	5.3	35
tt0000639	5.3	43
tt0000640	4.3	79
tt0000641	4.8	106
tt0000642	5.6	22
tt0000644	5.5	17
tt0000645	5.3	108
tt0000648	4.8	106
tt0000650	6.5	6
tt0000651	5.1	38
tt0000653	4.6	151
tt0000654	5.3	51
tt0000658	6.4	185
tt0000659	5.2	36
tt0000660	5.8	16
tt0000661	6.7	9
tt0000662	4.7	19
tt0000663	5.6	13
tt0000665	5.8	13
tt0000666	5.8	20
tt0000668	7.0	22
tt0000669	4.9	105
tt0000671	6.7	9
tt0000672	5.8	12
tt0000673	6.4	5
tt0000674	4.7	35
tt0000675	4.9	9
tt0000676	4.4	8
tt0000677	6.5	6
tt0000679	5.2	34
tt0000680	5.5	14
tt0000681	5.9	8
tt0000682	6.9	2240
tt0000683	5.6	41
tt0000684	5.2	75
tt0000685	5.8	13
tt0000689	6.6	16
tt0000690	6.5	12
tt0000694	5.1	16
tt0000695	5.9	19
tt0000697	5.1	8
tt0000698	5.4	7
tt0000699	6.0	8
tt0000700	5.4	45
tt0000704	5.5	24
tt0000706	5.1	11
tt0000707	5.4	7
tt0000708	4.6	14
tt0000709	5.7	35
tt0000711	4.4	5
tt0000713	6.0	6
tt0000717	5.9	8
tt0000720	6.6	8
tt0000722	5.4	7
tt0000724	5.2	32
tt0000727	6.2	9
tt0000728	5.9	92
tt0000730	5.8	40
tt0000731	4.6	12
tt0000733	6.2	13
tt0000734	4.2	6
tt0000736	4.7	6
tt0000737	5.5	21
tt0000738	8.0	12
tt0000739	6.3	7
tt0000740	5.6	7
tt0000741	5.4	7
tt0000743	6.8	6
tt0000746	7.4	9
tt0000747	5.2	8
tt0000748	5.9	13
tt0000749	5.7	665
tt0000750	7.0	7
tt0000752	5.4	91
tt0000754	7.2	40
tt0000755	5.7	166
tt0000756	5.4	89
tt0000758	6.2	17
tt0000759	7.9	8
tt0000762	6.0	7
tt0000764	5.7	104
tt0000765	5.2	6
tt0000767	6.1	8
tt0000769	5.3	126
tt0000770	5.4	106
tt0000771	6.2	11
tt0000772	6.2	8
tt0000775	7.9	7
tt0000776	5.8	74
tt0000778	6.5	6
tt0000779	5.7	6
tt0000781	6.6	10
tt0000782	7.5	14
tt0000784	5.9	9
tt0000785	5.2	32
tt0000787	5.8	8
tt0000789	5.0	35
tt0000790	6.2	295
tt0000792	5.0	16
tt0000793	5.0	7
tt0000797	5.3	94
tt0000798	4.5	11
tt0000800	5.4	49
tt0000801	5.4	16
tt0000807	5.0	13
tt0000809	6.2	22
tt0000815	5.0	12
tt0000816	4.7	70
tt0000817	3.9	10
tt0000819	5.5	14
tt0000821	4.7	67
tt0000823	4.8	14
tt0000825	4.8	12
tt0000826	4.8	11
tt0000827	5.3	35
tt0000828	5.3	57
tt0000829	4.7	13
tt0000831	5.3	82
tt0000832	6.6	2194
tt0000833	6.4	560
